,Households,Population,Total_rooms,Total_bedrooms,Longitude,Latitude,Median_income,Median_house_value,Ocean_proximity
126,20.0,129.0,175.0,22.0,-117.92,34.07,9.7066,182500.0,<1H OCEAN
127,21.0,37.0,66.0,22.0,-121.84,38.02,0.536,87500.0,INLAND
128,21.0,59.0,64.0,21.0,-122.51,37.58,2.2375,450000.0,NEAR OCEAN
129,21.0,79.0,89.0,19.0,-116.18,33.69,2.375,155000.0,INLAND
130,21.0,41.0,186.0,43.0,-115.94,33.38,2.7,58800.0,INLAND
131,21.0,44.0,868.0,178.0,-120.33,39.3,3.0,175000.0,INLAND
132,21.0,66.0,80.0,16.0,-119.01,35.24,3.125,65000.0,INLAND
133,21.0,48.0,443.0,111.0,-118.37,36.19,3.125,71300.0,INLAND
134,21.0,55.0,102.0,17.0,-118.68,34.08,3.9934,500001.0,NEAR OCEAN
135,21.0,51.0,127.0,23.0,-121.82,37.73,4.3472,375000.0,INLAND
136,21.0,32.0,87.0,20.0,-117.05,33.03,4.3571,144600.0,<1H OCEAN
137,21.0,78.0,212.0,38.0,-122.03,37.18,6.0622,390000.0,<1H OCEAN
138,21.0,59.0,308.0,38.0,-119.5,34.35,11.7794,500001.0,NEAR OCEAN
139,22.0,74.0,201.0,35.0,-121.01,37.64,1.3036,75000.0,INLAND
140,22.0,65.0,55.0,18.0,-117.17,32.73,1.6591,112500.0,NEAR OCEAN
141,22.0,51.0,99.0,26.0,-117.9,36.95,1.7292,137500.0,INLAND
142,22.0,48.0,58.0,18.0,-122.28,38.31,1.76,166700.0,NEAR BAY
143,22.0,72.0,136.0,20.0,-120.95,37.65,2.2279,225000.0,INLAND
144,22.0,91.0,97.0,20.0,-120.79,37.08,2.9063,55000.0,INLAND
145,22.0,63.0,240.0,49.0,-120.35,40.63,3.625,200000.0,INLAND
146,22.0,54.0,108.0,18.0,-120.32,37.91,4.375,100000.0,INLAND
147,22.0,219.0,127.0,28.0,-121.97,37.44,4.5179,112500.0,<1H OCEAN
148,23.0,47.0,141.0,59.0,-123.35,40.99,1.125,66000.0,INLAND
149,23.0,58.0,26.0,14.0,-117.11,32.68,1.9107,125000.0,NEAR OCEAN
150,23.0,69.0,59.0,24.0,-118.23,33.78,2.5588,350000.0,NEAR OCEAN
151,23.0,51.0,47.0,16.0,-118.21,33.99,3.2188,112500.0,<1H OCEAN
152,23.0,95.0,133.0,29.0,-117.81,33.86,3.5625,235000.0,<1H OCEAN
153,23.0,61.0,80.0,20.0,-118.39,33.92,5.25,247200.0,<1H OCEAN
154,23.0,86.0,135.0,29.0,-122.29,37.82,6.1183,75000.0,NEAR BAY
155,24.0,63.0,240.0,46.0,-115.98,33.32,1.4688,53800.0,INLAND
156,24.0,130.0,201.0,44.0,-117.37,33.98,2.025,125000.0,INLAND
157,24.0,69.0,110.0,26.0,-121.29,37.8,3.7292,475000.0,INLAND
158,24.0,65.0,137.0,26.0,-118.24,34.08,4.025,137500.0,<1H OCEAN
159,24.0,86.0,109.0,20.0,-118.24,34.08,4.9844,187500.0,<1H OCEAN
160,25.0,62.0,122.0,26.0,-121.3,38.05,1.15,112500.0,INLAND
161,25.0,42.0,60.0,15.0,-122.41,37.98,1.4583,67500.0,NEAR BAY
162,25.0,87.0,41.0,17.0,-118.25,34.06,1.5491,225000.0,<1H OCEAN
163,25.0,58.0,111.0,26.0,-120.13,37.93,1.675,112500.0,INLAND
164,25.0,55.0,178.0,40.0,-122.34,41.21,2.0375,57500.0,INLAND
165,25.0,86.0,162.0,27.0,-122.12,37.65,2.375,137500.0,NEAR BAY
166,25.0,45.0,100.0,20.0,-122.5,37.96,6.1359,212500.0,NEAR BAY
167,25.0,40.0,106.0,18.0,-122.28,38.22,7.5197,275000.0,NEAR BAY
168,26.0,158.0,114.0,26.0,-119.01,35.38,1.075,67500.0,INLAND
169,26.0,93.0,135.0,34.0,-122.39,37.72,2.1484,181300.0,NEAR BAY
170,26.0,121.0,123.0,28.0,-117.97,34.11,3.0417,137500.0,INLAND
171,26.0,59.0,98.0,24.0,-121.23,37.87,3.65,162500.0,INLAND
172,26.0,54.0,1463.0,264.0,-120.16,39.01,4.975,206300.0,INLAND
173,26.0,55.0,220.0,32.0,-121.59,37.19,15.0001,131300.0,<1H OCEAN
174,27.0,64.0,44.0,33.0,-114.65,32.79,0.8571,25000.0,INLAND
175,27.0,71.0,399.0,87.0,-117.18,34.3,1.875,71300.0,INLAND
176,27.0,86.0,89.0,18.0,-122.91,39.18,2.0208,72500.0,INLAND
177,27.0,47.0,858.0,262.0,-121.54,40.06,2.4028,67500.0,INLAND
178,27.0,67.0,121.0,25.0,-118.68,34.33,2.9821,325000.0,<1H OCEAN
179,27.0,88.0,157.0,28.0,-122.39,37.76,3.675,162500.0,NEAR BAY
180,27.0,41.0,58.0,52.0,-118.26,34.05,4.0972,500001.0,<1H OCEAN
181,27.0,113.0,94.0,24.0,-122.39,37.79,4.6563,350000.0,NEAR BAY
182,27.0,37.0,126.0,24.0,-122.39,37.74,10.2264,225000.0,NEAR BAY
183,27.0,93.0,170.0,23.0,-121.0,39.0,10.9891,312500.0,INLAND
184,27.0,50.0,120.0,21.0,-122.48,37.64,12.5,281000.0,NEAR OCEAN
185,28.0,75.0,202.0,29.0,-117.54,33.82,4.125,216700.0,INLAND
186,28.0,101.0,256.0,34.0,-117.53,34.02,5.3269,375000.0,INLAND
187,28.0,1154.0,204.0,34.0,-118.45,34.06,9.337,500001.0,<1H OCEAN
188,29.0,63.0,125.0,42.0,-118.38,34.24,1.3594,158300.0,<1H OCEAN
189,29.0,84.0,140.0,28.0,-121.78,39.71,2.125,179200.0,INLAND
190,29.0,66.0,254.0,50.0,-122.69,39.04,2.7639,112500.0,INLAND
191,29.0,79.0,58.0,29.0,-121.2,37.78,3.375,106300.0,INLAND
192,29.0,153.0,254.0,72.0,-122.41,37.78,3.8625,350000.0,NEAR BAY
193,29.0,6675.0,240.0,44.0,-121.15,38.69,6.1359,225000.0,INLAND
194,29.0,63.0,166.0,22.0,-119.08,34.17,7.3004,125000.0,NEAR OCEAN
195,29.0,84.0,189.0,26.0,-122.11,37.31,13.8093,500001.0,<1H OCEAN
196,29.0,268.0,249.0,31.0,-118.04,34.13,15.0001,500001.0,INLAND
197,30.0,153.0,121.0,29.0,-118.21,33.79,2.1964,150000.0,NEAR OCEAN
198,30.0,54.0,118.0,34.0,-122.14,38.03,2.5795,225000.0,NEAR BAY
199,30.0,79.0,172.0,42.0,-119.81,37.67,3.8333,93800.0,INLAND
200,30.0,85.0,101.0,23.0,-118.39,34.04,4.125,237500.0,<1H OCEAN
201,30.0,1542.0,161.0,27.0,-121.29,37.89,5.7485,162500.0,INLAND
202,31.0,142.0,238.0,58.0,-118.08,34.15,0.4999,500001.0,INLAND
203,31.0,36.0,90.0,35.0,-119.02,35.38,0.8054,60000.0,INLAND
204,31.0,89.0,131.0,28.0,-117.35,33.99,2.6071,112500.0,INLAND
205,31.0,75.0,146.0,31.0,-121.99,38.36,3.5179,84400.0,INLAND
206,31.0,108.0,231.0,36.0,-122.61,38.93,4.3897,71300.0,INLAND
207,31.0,83.0,200.0,25.0,-122.03,37.69,6.5,340000.0,NEAR BAY
208,32.0,542.0,164.0,30.0,-120.69,35.34,1.6563,42500.0,NEAR OCEAN
209,32.0,104.0,164.0,30.0,-120.67,37.37,1.6607,87500.0,INLAND
210,32.0,50.0,67.0,17.0,-121.38,38.68,1.7596,93800.0,INLAND
211,32.0,54.0,102.0,29.0,-118.35,34.32,1.9875,191700.0,<1H OCEAN
212,32.0,158.0,198.0,32.0,-121.92,37.36,3.1563,137500.0,<1H OCEAN
213,32.0,86.0,1115.0,255.0,-120.32,38.71,3.5667,115600.0,INLAND
214,32.0,85.0,185.0,32.0,-121.93,38.31,4.875,250000.0,INLAND
215,33.0,66.0,161.0,48.0,-118.42,34.2,1.0,187500.0,<1H OCEAN
216,33.0,81.0,245.0,57.0,-116.0,33.19,1.2639,51300.0,INLAND
217,33.0,35.0,102.0,23.0,-121.0,37.71,2.25,175000.0,INLAND
218,33.0,113.0,143.0,36.0,-119.05,34.19,2.8942,275000.0,NEAR OCEAN
219,33.0,82.0,1568.0,369.0,-120.19,38.42,3.125,77500.0,INLAND
220,33.0,91.0,213.0,36.0,-122.24,38.25,4.9167,187500.0,NEAR BAY
221,34.0,191.0,96.0,31.0,-122.28,37.8,0.75,162500.0,NEAR BAY
222,34.0,100.0,215.0,45.0,-122.37,37.95,1.6023,81300.0,NEAR BAY
223,34.0,117.0,173.0,35.0,-114.57,33.52,2.0833,45000.0,INLAND
224,34.0,101.0,149.0,32.0,-116.97,32.83,2.6458,112500.0,<1H OCEAN
225,34.0,99.0,352.0,41.0,-117.61,34.01,3.9696,500000.0,INLAND
226,34.0,85.0,914.0,159.0,-120.21,39.35,4.7917,187500.0,INLAND
227,34.0,63.0,240.0,29.0,-122.49,37.85,12.2547,500001.0,NEAR BAY
228,35.0,125.0,80.0,26.0,-118.24,34.12,0.8907,154200.0,<1H OCEAN
229,35.0,65.0,152.0,30.0,-121.4,38.53,0.9274,67500.0,INLAND
230,35.0,130.0,187.0,33.0,-118.85,34.27,3.3438,500001.0,<1H OCEAN
231,35.0,193.0,116.0,30.0,-117.92,34.0,3.8125,136300.0,<1H OCEAN
232,35.0,103.0,140.0,35.0,-121.98,38.36,4.163,112500.0,INLAND
233,35.0,79.0,232.0,37.0,-119.19,34.25,4.1667,214600.0,NEAR OCEAN
234,36.0,96.0,32.0,18.0,-118.21,33.79,4.5938,112500.0,NEAR OCEAN
235,36.0,92.0,239.0,39.0,-120.88,37.53,5.3168,175000.0,INLAND
236,37.0,121.0,189.0,34.0,-121.39,39.39,3.0208,60000.0,INLAND
237,37.0,171.0,156.0,39.0,-119.8,36.02,3.05,225000.0,INLAND
238,37.0,208.0,191.0,42.0,-117.86,33.71,3.375,157500.0,<1H OCEAN
239,37.0,92.0,223.0,37.0,-121.07,37.71,3.375,212500.0,INLAND
240,37.0,87.0,133.0,35.0,-123.43,40.22,3.625,67500.0,INLAND
241,37.0,64.0,1881.0,380.0,-119.34,37.12,3.875,125000.0,INLAND
242,37.0,120.0,375.0,58.0,-121.03,37.65,3.9844,150000.0,INLAND
243,37.0,118.0,254.0,35.0,-119.09,35.43,4.8571,237500.0,INLAND
244,38.0,85.0,255.0,73.0,-122.74,39.71,1.6607,14999.0,INLAND
245,38.0,125.0,226.0,44.0,-121.31,37.9,2.9,125000.0,INLAND
246,38.0,83.0,192.0,41.0,-118.32,34.18,3.0179,118800.0,<1H OCEAN
247,38.0,131.0,259.0,53.0,-120.0,35.91,3.125,62500.0,INLAND
248,38.0,89.0,154.0,33.0,-122.41,37.94,3.2875,275000.0,NEAR BAY
249,38.0,75.0,221.0,41.0,-122.56,37.9,5.1292,362500.0,NEAR BAY
250,38.0,101.0,199.0,36.0,-122.05,38.25,6.2299,105400.0,INLAND
251,39.0,125.0,105.0,42.0,-122.27,37.8,0.9722,137500.0,NEAR BAY
252,39.0,102.0,186.0,48.0,-116.42,33.51,2.5625,103100.0,INLAND
253,39.0,27.0,1116.0,214.0,-121.0,39.75,2.5893,83000.0,INLAND
254,39.0,158.0,324.0,63.0,-116.8,33.8,3.4167,100000.0,INLAND
255,39.0,88.0,362.0,78.0,-119.51,37.32,3.5893,214300.0,INLAND
256,39.0,142.0,202.0,42.0,-122.91,39.17,4.35,68300.0,INLAND
257,39.0,92.0,321.0,44.0,-119.14,34.49,7.75,375000.0,<1H OCEAN
258,40.0,145.0,202.0,54.0,-121.57,39.48,0.8252,42500.0,INLAND
259,40.0,136.0,266.0,42.0,-117.56,33.94,1.625,164300.0,INLAND
260,40.0,106.0,187.0,38.0,-119.9,36.2,1.875,137500.0,INLAND
261,40.0,193.0,112.0,28.0,-119.79,36.73,1.975,47500.0,INLAND
262,40.0,101.0,176.0,43.0,-121.82,38.02,2.2361,93800.0,INLAND
263,40.0,164.0,146.0,41.0,-121.26,36.32,2.3,206300.0,<1H OCEAN
264,40.0,142.0,123.0,36.0,-118.3,33.85,2.3942,200000.0,<1H OCEAN
265,40.0,77.0,156.0,45.0,-117.2,32.77,3.2679,137500.0,NEAR OCEAN
266,40.0,121.0,349.0,59.0,-121.04,37.7,3.3036,197500.0,INLAND
267,40.0,99.0,125.0,42.0,-118.25,34.11,3.4375,170000.0,<1H OCEAN
268,40.0,118.0,184.0,44.0,-122.44,37.74,4.5375,350000.0,NEAR BAY
269,41.0,658.0,121.0,41.0,-121.0,37.64,0.9573,162500.0,INLAND
270,41.0,477.0,120.0,35.0,-119.01,35.37,1.9125,47500.0,INLAND
271,41.0,92.0,292.0,56.0,-122.6,38.9,2.9583,91700.0,INLAND
272,41.0,95.0,224.0,38.0,-121.28,38.53,3.1042,165000.0,INLAND
273,41.0,88.0,473.0,115.0,-119.93,37.85,4.0833,137500.0,INLAND
274,41.0,112.0,227.0,45.0,-122.01,36.99,6.4469,271400.0,NEAR OCEAN
275,41.0,117.0,204.0,40.0,-118.69,34.08,9.7646,500001.0,NEAR OCEAN
276,42.0,98.0,2213.0,372.0,-120.06,39.15,1.1912,170000.0,INLAND
277,42.0,119.0,248.0,47.0,-117.64,34.02,2.125,416700.0,INLAND
278,42.0,88.0,263.0,73.0,-121.99,38.15,2.5313,162500.0,INLAND
279,42.0,157.0,260.0,41.0,-117.02,32.64,6.5151,281700.0,NEAR OCEAN
280,42.0,120.0,270.0,42.0,-117.18,33.51,6.993,500001.0,<1H OCEAN
281,42.0,76.0,196.0,41.0,-122.16,37.45,7.6129,412500.0,NEAR BAY
282,42.0,83.0,228.0,40.0,-121.85,37.72,10.3203,400000.0,INLAND
283,43.0,126.0,215.0,41.0,-122.36,37.92,1.3929,104200.0,NEAR BAY
284,43.0,69.0,919.0,199.0,-121.08,40.19,1.6944,137500.0,INLAND
285,43.0,115.0,182.0,39.0,-121.42,38.55,2.6417,98900.0,INLAND
286,43.0,87.0,207.0,41.0,-121.02,37.71,3.6023,131300.0,INLAND
287,43.0,140.0,195.0,59.0,-119.2,34.25,3.8889,187500.0,NEAR OCEAN
288,43.0,120.0,349.0,74.0,-116.67,32.97,5.359,193800.0,<1H OCEAN
289,43.0,213.0,454.0,102.0,-117.53,33.69,10.9704,483300.0,<1H OCEAN
290,43.0,140.0,452.0,51.0,-121.92,37.74,12.5915,432400.0,<1H OCEAN
291,44.0,125.0,211.0,51.0,-117.7,33.72,1.9659,500001.0,<1H OCEAN
292,44.0,97.0,1709.0,408.0,-119.93,38.94,2.4917,200000.0,INLAND
293,45.0,74.0,117.0,33.0,-118.28,33.93,0.4999,90600.0,<1H OCEAN
294,45.0,83.0,2809.0,635.0,-114.49,33.97,1.6154,87500.0,INLAND
295,45.0,137.0,142.0,47.0,-118.24,34.03,1.8333,312500.0,<1H OCEAN
296,45.0,120.0,224.0,38.0,-122.08,39.25,3.017,112500.0,INLAND
297,45.0,167.0,249.0,44.0,-121.32,38.04,4.5,92800.0,INLAND
298,45.0,133.0,426.0,62.0,-117.55,33.52,5.136,447400.0,<1H OCEAN
299,45.0,142.0,259.0,38.0,-119.17,34.31,5.2681,500001.0,NEAR OCEAN
300,45.0,121.0,309.0,47.0,-118.23,34.21,6.213,285000.0,<1H OCEAN
301,46.0,239.0,284.0,51.0,-120.64,37.7,1.8958,137500.0,INLAND
302,46.0,88.0,176.0,50.0,-122.52,37.88,3.8068,275000.0,NEAR BAY
303,46.0,130.0,334.0,56.0,-117.64,33.45,4.875,284100.0,NEAR OCEAN
304,46.0,200.0,338.0,47.0,-117.59,33.93,7.8118,244200.0,INLAND
305,46.0,128.0,311.0,51.0,-118.41,33.75,9.8091,500001.0,NEAR OCEAN
306,47.0,112.0,602.0,153.0,-121.76,41.5,1.0667,34200.0,INLAND
307,47.0,147.0,294.0,49.0,-121.21,37.5,3.0,162500.0,INLAND
308,47.0,130.0,284.0,53.0,-121.31,37.81,3.1429,179200.0,INLAND
309,47.0,575.0,142.0,31.0,-122.18,37.78,3.875,225000.0,NEAR BAY
310,47.0,152.0,197.0,44.0,-121.9,37.33,4.05,200000.0,<1H OCEAN
311,47.0,122.0,301.0,94.0,-120.26,38.13,4.0583,87500.0,INLAND
312,47.0,161.0,298.0,55.0,-118.86,35.9,4.125,71300.0,INLAND
313,47.0,98.0,334.0,54.0,-122.24,37.85,4.9643,335000.0,NEAR BAY
314,47.0,124.0,291.0,48.0,-120.59,37.59,5.6945,154200.0,INLAND
315,47.0,100.0,407.0,67.0,-118.37,34.1,15.0001,500001.0,<1H OCEAN
316,48.0,107.0,107.0,44.0,-117.08,33.12,0.7054,137500.0,<1H OCEAN
317,48.0,89.0,144.0,54.0,-122.29,38.3,1.0096,162500.0,NEAR BAY
318,48.0,98.0,1491.0,408.0,-118.59,35.72,1.4205,90000.0,INLAND
